Tab.2.1.7;;;;;;;;;;;;
Kanada 2)4)6);2004;m;m;m;m;m;m;m;m;m;m;m
Kanada 2)4)6);2005;y;y;y;y;7837;y;m;20156;m;m;m
Kanada 2)4)6);2006;y;y;y;y;7774;y;m;22810;m;m;m
Kanada 2)4)6);2007;y;y;y;y;8045;y;15091;24424;20278;14731;m
Kanada 2)4)6);2008;y;7648;y;9754;8388;m;15557;24384;20903;15119;m
Kanada 2)4)6);2009;y;8262;y;10340;8997;m;13605;25341;20932;15126;m
Kanada 2)4)6);2010;y;8933;y;11317;m;m;14461;27123;22475;16300;m
Kanada 2)4)6);2011;y;9232;y;11607;m;m;15729;27373;23226;17006;m
Korea;1997;1676;3308;3374;3652;3518;a;4346;8512;6844;m;m
Korea;1998;1287;2838;3374;3692;3544;a;4185;7820;6356;m;m
Korea;1999;1752;2838;3208;3597;3419;a;3494;6612;5356;m;m
Korea;2000;1949;3155;3655;4440;4069;a;4106;7502;6118;m;4294
Korea;2001;1913;3714;4612;5681;5159;a;4295;8236;6618;m;5035
Korea;2002;2497;3553;5036;6747;5882;a;3772;7630;6047;m;5053
Korea;2003;2628;4098;5425;7442;6410;a;4021;9138;7089;6213;5733
Korea;2004;2520;4490;6057;7485;6761;a;4263;8600;7068;6154;5994
Korea;2005;2426;4691;5661;7765;6645;a;3811;9938;7606;6607;6212
Korea;2006;3393;4935;5719;9060;7261;a;4653;10844;8564;7517;6811
Korea;2007;3909;5437;6287;9620;7860;a;5279;10115;8920;7796;7325
Korea;2008;4281;5420;6307;9666;7931;a;5742;10109;9081;7771;7434
Korea;2009;6047;6658;7536;11300;9399;a;6313;10499;9513;8096;8542
Korea;2010;6739;6601;6652;9477;8060;a;5713;11271;9972;8226;8198
Korea;2011;6861;6976;6674;9698;8199;a;5692;11230;9927;8168;8382
Luxemburg 2)6)7);1997;m;m;m;m;m;m;m;m;m;m;m
Luxemburg 2)6)7);1998;m;m;m;m;m;m;m;m;m;m;m
Luxemburg 2)6)7);1999;m;m;m;m;m;m;m;m;m;m;m
Luxemburg 2)6)7);2000;m;m;m;m;m;m;m;m;m;m;m
Luxemburg 2)6)7);2001;y;7873;y;y;11091;y;m;m;m;m;m
Luxemburg 2)6)7);2002;y;10611;y;y;15195;y;m;m;m;m;m
Luxemburg 2)6)7);2003;y;11481;16754;17364;17078;m;m;m;m;m;m
Luxemburg 2)6)7);2004;y;13458;18036;17731;17876;m;m;m;m;m;m
Luxemburg 2)6)7);2005;y;14079;18844;18845;18845;m;m;m;m;m;m
Luxemburg 2)6)7);2006;y;13676;18144;18144;18144;m;m;m;m;m;m
Luxemburg 2)6)7);2007;y;13985;17928;17928;17928;m;m;m;m;m;m
Luxemburg 2)6)7);2008;13460;13648;19791;20002;19898;m;m;m;m;m;m
Luxemburg 2)6)7);2009;16247;16494;19202;19443;19324;m;m;m;m;m;m
Luxemburg 2)6)7);2010;20958;21240;17449;17813;17633;m;m;m;m;m;m
Luxemburg 2)6)7);2011;25074;23871;16125;16238;16182;m;m;m;m;m;m
Mexiko 2);1997;979;935;1443;2320;1726;a;y;4519;4519;m;m
Mexiko 2);1998;865;863;1268;2253;1586;a;y;3800;3800;m;m
Mexiko 2);1999;1204;1096;1129;2226;1480;a;y;y;4789;m;m
Mexiko 2);2000;1385;1291;1289;2317;1615;a;y;y;4688;m;1666
Mexiko 2);2001;1410;1357;1342;3144;1915;a;y;y;4341;3538;1793
Mexiko 2);2002;1643;1467;1477;2378;1768;a;y;y;6074;5298;1950
Mexiko 2);2003;2069;1656;1495;2790;1918;a;y;y;5774;4998;2095
Mexiko 2);2004;1794;1694;1602;2564;1922;a;y;y;5778;4834;2128
Mexiko 2);2005;1964;1913;1839;2853;2180;a;y;y;6402;5346;2405
Mexiko 2);2006;1978;2003;1814;2856;2165;a;y;y;6462;5393;2460
Mexiko 2);2007;1979;2111;1814;3070;2236;a;y;y;6971;5862;2598
Mexiko 2);2008;2391;2246;1853;3277;2333;a;y;y;7504;6298;2763
Mexiko 2);2009;2158;2185;2014;3534;2536;a;y;y;8020;6756;2875
Mexiko 2);2010;2280;2331;2102;3617;2632;a;y;y;7872;6611;2993
Mexiko 2);2011;2568;2622;2344;4034;2943;a;y;y;7889;6476;3286
Neuseeland;1997;m;m;m;m;m;m;m;m;m;m;m
Neuseeland;1998;m;m;m;m;m;m;m;m;m;m;m
Neuseeland;1999;m;m;m;m;m;m;m;m;m;m;m
Neuseeland;2000;m;m;m;m;m;m;m;m;m;m;m
Neuseeland;2001;m;m;m;m;m;m;m;m;m;m;m
Neuseeland;2002;4650;4536;4540;7330;5698;m;m;m;m;m;m
Neuseeland;2003;4325;4841;4803;6730;5693;8016;6064;9738;8832;m;5963
Neuseeland;2004;5112;5190;5334;7424;6299;5412;5791;9834;8866;8240;6298
Neuseeland;2005;4778;4780;5165;7586;6278;6126;7740;11002;10262;8864;6342
Neuseeland;2006;5113;4952;5347;6838;6043;5734;6533;10101;9288;8010;6222
Neuseeland;2007;5185;4675;5146;6828;5933;6794;7322;10666;9905;8539;6226
Neuseeland;2008;7431;5582;6071;8025;6994;8796;8594;11125;10526;8815;7218
Neuseeland;2009;11202;6812;7304;8670;7960;9421;8521;11185;10619;8939;8117
Neuseeland;2010;11495;6842;7400;9007;8170;9440;8491;10923;10418;8816;8192
Neuseeland;2011;11088;8084;8670;10023;9312;9898;8863;10995;10582;9039;9163
Niederlande 2)3);1997;3310;3335;5060;4903;4992;y;6862;10028;9989;m;m
Niederlande 2)3);1998;3630;3795;5459;5120;5304;y;7592;10796;10757;m;m
Niederlande 2)3);1999;3848;4162;5747;5575;5670;m;7227;12354;12285;m;m
Niederlande 2)3);2000;3920;4325;6100;5671;5912;5006;6890;12004;11934;m;6125
Niederlande 2)3);2001;4228;4862;6779;5911;6403;5506;7380;13044;12974;8075;6733
Niederlande 2)3);2002;4923;5558;7257;6256;6823;5872;7622;13163;13101;7977;7241
Niederlande 2)3);2003;5497;5836;7566;6271;6996;5723;m;13537;13444;8338;7501
Niederlande 2)3);2004;5807;6222;7948;7037;7541;6624;a;13846;13846;8637;7999
Niederlande 2)3);2005;5885;6266;8166;7225;7741;7000;n;13883;13883;8719;8147
Niederlande 2)3);2006;6006;6425;9149;9918;9516;10238;n;15196;15196;9717;9330
Niederlande 2)3);2007;6130;6552;9902;10616;10248;10881;n;15969;15969;10421;9883
Niederlande 2)3);2008;6745;7208;10608;11301;10950;11408;n;17245;17245;11203;10704
Niederlande 2)3);2009;7437;7917;11708;11880;11793;11642;10056;17854;17849;11479;11493
Niederlande 2)3);2010;7664;7954;11925;11750;11838;11145;9873;17172;17161;10818;11439
Niederlande 2)3);2011;8020;8036;12031;12171;12100;11532;10208;17561;17549;10665;11701
Norwegen 2)6);1997;m;6315;6315;7358;6973;y;y;y;10108;m;m
Norwegen 2)6);1998;7924;5761;7116;7839;7343;y;y;10918;10918;m;m
Norwegen 2)6);1999;11699;5920;7387;7819;7628;y;y;y;12096;m;m
Norwegen 2)6);2000;13170;6550;8185;8925;8476;y;y;y;13353;m;8333
Norwegen 2)6);2001;8246;7404;8365;9840;9040;y;y;y;13189;m;9004
Norwegen 2)6);2002;m;7508;8536;11510;10154;y;y;y;13739;m;9560
Norwegen 2)6);2003;3895;7977;9208;12380;10919;y;y;y;13772;9310;10105
Norwegen 2)6);2004;4327;8533;9476;12498;11109;y;y;y;14997;10449;10721
Norwegen 2)6);2005;5236;9001;9687;12096;10995;y;y;y;15552;9981;10980
Norwegen 2)6);2006;5625;9486;10075;12559;11435;y;y;y;16235;10730;11487
Norwegen 2)6);2007;5886;9922;10603;13132;11997;y;y;y;17140;10071;11967
Norwegen 2)6);2008;6572;11077;11860;14039;13070;y;y;y;18942;11598;13285
Norwegen 2)6);2009;6696;11833;12505;14983;13883;y;y;y;19269;11290;14020
Norwegen 2)6);2010;6610;12255;12603;14845;13852;y;y;y;18512;10933;14081
Norwegen 2)6);2011;6730;12459;12769;14838;13939;y;y;y;18840;11036;14288
Österreich 2)6);1997;4867;6258;7215;9462;8213;7412;y;y;9993;m;m
Österreich 2)6);1998;5029;6065;7669;8783;8163;7245;y;y;11279;m;m
Österreich 2)6);1999;5080;6568;8434;8584;8504;9131;y;y;12070;m;m
Österreich 2)6);2000;5471;6560;8934;8165;8578;10947;y;y;10851;m;8430
Österreich 2)6);2001;5713;6571;8316;8852;8562;8240;9884;11382;11274;7388;8462
Österreich 2)6);2002;6169;7015;8683;9125;8887;12471;9584;12701;12448;7781;8943
Österreich 2)6);2003;6205;7139;8719;9189;8943;y;10382;12507;12344;8116;9063
Österreich 2)6);2004;6106;7669;8969;9962;9446;y;10072;14281;13959;9595;9803
Österreich 2)6);2005;6562;8259;9505;10028;9751;y;11394;15028;14775;10061;10407
Österreich 2)6);2006;6783;8516;10011;11205;10577;y;13006;15284;15148;10541;10895
Österreich 2)6);2007;6409;8664;10249;11068;10641;6518;12364;15174;15039;10552;10974
Österreich 2)6);2008;7508;9542;11533;11956;11741;7354;12218;15081;15043;10477;11852
Österreich 2)6);2009;8202;10080;12442;12737;12589;y;14210;14258;14257;9811;12285
Österreich 2)6);2010;8893;10244;12711;12390;12551;5418;6491;15101;15007;10488;12507
Österreich 2)6);2011;8933;10600;13547;13666;13607;5917;6944;14967;14895;10487;13116
Polen 2)6);1997;m;1435;y;1452;m;y;y;4293;4395;m;m
Polen 2)6);1998;2747;1496;y;1438;1438;m;y;4262;4262;m;m
Polen 2)6);1999;1898;1888;y;1583;1583;y;y;3912;3912;m;m
Polen 2)6);2000;2278;2105;y;1790;m;y;1135;3252;3222;m;2149
Polen 2)6);2001;2220;2322;y;2592;m;2134;3341;3582;3579;2864;2573
Polen 2)6);2002;2691;2585;y;2599;m;2896;y;y;4834;4204;2962
Polen 2)6);2003;3269;2859;2693;3184;2951;6866;m;4653;4589;3960;3221
Polen 2)6);2004;4045;3130;2822;2949;2889;3147;2756;4471;4412;3893;3323
Polen 2)6);2005;4130;3312;2971;3131;3055;2956;y;y;5593;4883;3592
Polen 2)6);2006;4545;3770;3315;3498;3411;3586;y;y;5224;4468;3868
Polen 2)6);2007;4658;4063;3643;3543;3590;4461;4742;5587;5576;4637;4134
Polen 2)6);2008;5792;4855;4424;4613;4525;6184;5079;7089;7063;6038;5135
Polen 2)6);2009;5610;5302;4871;5159;5026;7865;5691;7800;7776;6502;5666
Polen 2)6);2010;5737;5937;5428;5530;5483;7020;6432;8892;8866;7281;6321
Polen 2)6);2011;6409;6233;5995;5764;5870;10620;6851;9686;9659;7916;6796
Portugal 2)6);1997;2044;3248;4183;4356;4264;a;y;y;m;m;m
Portugal 2)6);1998;1717;3121;4219;5137;4636;a;m;m;m;m;m
Portugal 2)6);1999;2165;3478;4958;5422;5181;a;y;y;4802;m;m
Portugal 2)6);2000;2237;3672;5151;5563;5349;a;y;y;4766;m;4552
Portugal 2)6);2001;m;4181;5882;6076;5976;a;y;y;5199;m;5092
Portugal 2)6);2002;4158;4940;6727;7155;6921;a;y;y;6960;4693;6080
Portugal 2)6);2003;4489;4503;6158;6022;6094;a;y;y;7200;m;5611
Portugal 2)6);2004;4461;4681;6359;5962;6168;m;y;y;7741;m;5809
Portugal 2)6);2005;4808;4871;6555;6381;6473;m;y;y;8787;6785;6197
Portugal 2)6);2006;4897;5138;6677;7052;6846;m;y;y;9724;7208;6624
Portugal 2)6);2007;5006;5011;6497;7243;6833;m;y;y;10398;7428;6677
Portugal 2)6);2008;5248;5234;6910;7924;7357;m;y;y;10373;6097;7005
Portugal 2)6);2009;5661;5762;8448;9015;8709;m;y;y;10481;5504;7829
Portugal 2)6);2010;5977;5922;8504;9327;8882;m;y;y;10578;5843;8009
Portugal 2)6);2011;5674;5865;8294;9139;8676;m;y;y;9640;5219;7741
Schweden 2);1997;2943;5491;5468;5417;5437;m;y;y;12981;m;m
Schweden 2);1998;3210;5579;5567;5701;5648;m;y;y;13224;m;m
Schweden 2);1999;3396;5736;5678;6077;5911;6675;y;y;14222;m;m
Schweden 2);2000;3343;6336;6238;6411;6339;4452;y;y;15097;m;7524
Schweden 2);2001;3504;6295;6285;6628;6482;3757;y;y;15188;8356;7612
Schweden 2);2002;4107;7143;7075;7670;7400;3952;y;y;15715;7832;8520
Schweden 2);2003;4091;7291;7446;7848;7662;2867;y;y;16073;8278;8792
Schweden 2);2004;4417;7469;7836;8218;8039;3437;y;y;16218;8355;9085
Schweden 2);2005;4852;7532;8091;8292;8198;2691;y;y;15946;8281;9156
Schweden 2);2006;5475;7699;8365;8610;8496;4991;y;y;16991;8855;9523
Schweden 2);2007;5666;8338;9020;9247;9143;6467;6005;19013;18361;9402;10262
Schweden 2);2008;6519;9080;9739;10103;9940;6128;7865;20864;20014;10019;11162
Schweden 2);2009;6549;9382;9642;10375;10050;5974;6658;21144;19961;9464;11400
Schweden 2);2010;6582;9987;9776;10497;10185;6176;6387;20750;19562;9143;11734
Schweden 2);2011;6915;10295;10823;11022;10938;4029;6604;22090;20818;9922;12426
Schweiz 2)6);1997;2451;6237;7393;10833;9045;7856;14825;16560;16376;m;m
Schweiz 2)6);1998;2593;6470;7618;11219;9348;7621;10273;17310;16563;m;m
Schweiz 2)6);1999;2764;6663;7824;11819;9756;7960;13421;18584;17997;m;m
Schweiz 2)6);2000;3114;6631;8012;11622;9780;7199;10516;19491;18450;m;9311
Schweiz 2)6);2001;3080;6889;8219;13701;10916;5910;6785;21815;20230;m;8795
Schweiz 2)6);2002;3450;7776;9200;14693;11900;8591;7286;25524;23714;m;11334
Schweiz 2)6);2003;3558;8131;9538;15014;12209;8485;7579;27682;25900;14335;12071
Schweiz 2)6);2004;3581;8570;9197;15368;12176;8401;5971;23395;21966;12515;11883
Schweiz 2)6);2005;3853;8469;9756;16166;12861;9119;4163;23137;21734;13041;12195
Schweiz 2)6);2006;4166;8793;10121;16540;13268;10129;4101;23593;22230;12783;12667
Schweiz 2)6);2007;4506;9211;10574;17362;13982;7506;3889;22346;20883;10977;13031
Schweiz 2)6);2008;4911;9063;16737;18844;17825;y;5139;23284;21648;9845;14977
Schweiz 2)6);2009;5147;10597;14068;17013;15645;y;5502;23111;21577;9465;14716
Schweiz 2)6);2010;5186;11513;14216;15595;14972;y;5021;23457;21893;9620;14922
Schweiz 2)6);2011;5267;12907;15124;16521;15891;y;6371;24287;22882;10017;16090
Slowakei 2);1997;m;m;m;m;m;m;m;m;m;m;m
Slowakei 2);1998;m;m;m;m;m;m;m;m;m;m;m
Slowakei 2);1999;1880;y;1811;2637;2163;y;y;5325;5325;m;m
Slowakei 2);2000;1644;1308;1558;2488;1927;y;y;4949;4949;m;2028
Slowakei 2);2001;1740;1252;1483;2452;1874;y;y;5285;5285;4788;2031
Slowakei 2);2002;2125;1471;1806;2694;2193;y;y;4756;4756;4407;2300
Slowakei 2);2003;2641;2020;2106;2737;2401;y;y;4678;4678;4299;2602
Slowakei 2);2004;2575;2073;2389;3155;2744;y;y;6535;6535;5940;3058
Slowakei 2);2005;2895;2806;2430;3026;2716;y;y;5783;5783;5131;3139
Slowakei 2);2006;3156;3221;2841;3081;2963;y;y;6056;6056;5324;3485
Slowakei 2);2007;3419;3499;2946;3475;3219;y;y;5736;5736;4922;3694
Slowakei 2);2008;3977;4137;3716;4174;3956;y;y;6560;6560;5671;4446
Slowakei 2);2009;4433;5099;4747;4578;4658;y;y;6758;6758;5919;5134
Slowakei 2);2010;4306;5732;5147;4501;4806;y;y;6904;6904;5831;5400
Slowakei 2);2011;4653;5517;5109;4783;4938;y;y;8177;8177;6436;5667
Slowenien 2)6);1997;m;m;m;m;m;m;m;m;m;m;m
Slowenien 2)6);1998;m;m;m;m;m;m;m;m;m;m;m
Slowenien 2)6);1999;m;m;m;m;m;m;m;m;m;m;m
Slowenien 2)6);2000;m;m;m;m;m;m;m;m;m;m;m
Slowenien 2)6);2001;m;m;m;m;m;m;m;m;m;m;m
Slowenien 2)6);2002;m;m;m;m;m;m;m;m;m;m;m
Slowenien 2)6);2003;m;m;m;m;m;m;m;m;m;m;m
Slowenien 2)6);2004;6369;y;7428;5062;6525;y;y;y;8011;6866;6824
Slowenien 2)6);2005;6364;y;7994;5565;7065;y;y;y;8573;7037;7378
Slowenien 2)6);2006;7209;y;8510;6550;7759;y;y;y;8251;6762;7869
Slowenien 2)6);2007;8464;y;7981;6072;7267;y;y;y;8559;7037;7560
Slowenien 2)6);2008;8029;y;9287;7284;8555;y;y;y;9263;7608;8719
Slowenien 2)6);2009;7979;y;9386;7409;8670;y;y;y;9311;7510;8826
Slowenien 2)6);2010;7744;8935;9368;7472;8187;y;y;y;9693;7719;8933
Slowenien 2)6);2011;8136;9260;9947;7724;8568;y;y;y;10413;8279;9233
Spanien 2);1997;2520;3180;3295;5335;4274;y;4301;5217;5166;m;m
Spanien 2);1998;2586;3267;y;y;4274;y;4767;5056;5038;m;m
Spanien 2);1999;2789;3635;y;y;4864;y;5111;5760;5707;m;m
Spanien 2);2000;3370;3941;y;y;5185;y;6306;6712;6666;m;5037
Spanien 2);2001;3608;4168;y;y;5442;y;7280;7483;7455;5951;5385
Spanien 2);2002;3845;4592;y;y;6010;y;7718;8074;8020;6030;5914
Spanien 2);2003;4151;4829;y;y;6418;y;7997;9131;8943;6563;6346
Spanien 2);2004;4617;4965;y;y;6701;a;8363;9582;9378;6853;6599
Spanien 2);2005;5015;5502;y;y;7211;a;9059;10301;10089;7182;7134
Spanien 2);2006;5372;5970;y;y;7955;a;9798;11342;11087;7845;7819
Spanien 2);2007;6138;6533;8155;9867;8730;a;10650;12940;12548;8954;8618
Spanien 2);2008;6708;7184;9108;11113;9792;a;10725;13928;13366;9451;9499
Spanien 2);2009;6946;7446;9484;11265;10111;a;10990;14191;13614;9656;9800
Spanien 2);2010;6685;7291;9208;10306;9608;a;10384;14072;13373;9494;9484
Spanien 2);2011;6725;7288;9335;10090;9615;a;10042;13933;13173;9436;9454
Tschechien;1997;2526;1954;3331;4030;3641;1688;2675;6159;5351;m;m
Tschechien;1998;2231;1645;2879;3575;3182;1334;3191;6326;5584;m;m
Tschechien;1999;2404;1769;2998;4043;3449;832;1886;6679;5688;m;m
Tschechien;2000;2435;1827;3134;3360;3239;1624;1970;5946;5431;m;3004
Tschechien;2001;2449;1871;3245;3663;3448;1607;2789;5907;5555;m;3169
Tschechien;2002;2724;2077;3601;3657;3628;1623;2703;6671;6236;4963;3449
Tschechien;2003;2660;2273;3939;4241;4088;2051;3339;7185;6774;5698;3898
Tschechien;2004;3178;2791;4769;4790;4779;2191;3273;7142;6752;5711;4484
Tschechien;2005;3353;2812;4864;4830;4847;2098;3105;7019;6649;5409;4545
